epoch,train_loss,train_accuracy,val_loss,val_accuracy,total_batches,requested_mix_batches,applied_mix_batches,mask_failure_batches,requested_mix_ratio,actual_mix_ratio,mean_pasted_bbox_ratio
1,4.54985578212366,10.8254970196814,4.040080494770662,34.54905616406432,750,372,275,97,0.496,0.36666666666666664,0.5416468280507739
2,3.885820969042529,36.81903573737023,3.029224954265949,58.22652062456304,750,362,259,103,0.4826666666666667,0.3453333333333333,0.5481806359465978
3,3.2332628914307984,50.075901527368224,2.2840974245891514,68.10766721044045,750,362,259,103,0.4826666666666667,0.3453333333333333,0.546825476051931
4,2.734965692581505,56.89699000608009,1.6820888932671922,73.10650198089023,750,375,261,114,0.5,0.348,0.551096506077648
5,2.3814285513281246,60.88385735179687,1.3586473759446935,76.15940340247029,750,363,263,100,0.484,0.3506666666666667,0.5448196392095588
6,2.2121280019015823,62.78098030753246,1.1634287347440202,78.21020741085994,750,390,290,100,0.52,0.38666666666666666,0.5508607065127604
7,1.98707638869466,65.08803465581373,1.0038990349904053,79.87648566767653,750,370,264,106,0.49333333333333335,0.352,0.5443959124386311
8,1.8692958187631694,66.74849238668328,0.9095811384926029,80.6804940573293,750,379,267,112,0.5053333333333333,0.356,0.5452740118710163
9,1.7454869626740412,68.50889177794535,0.816066743776921,81.61267769750641,750,374,254,120,0.49866666666666665,0.33866666666666667,0.5466255700277144
10,1.7274057022987515,68.46577109923301,0.7635462451886809,82.19529247261711,750,391,281,110,0.5213333333333333,0.37466666666666665,0.5467076894439412
11,1.5799276528308384,70.83628992772853,0.7277098330993581,82.67303658820788,750,363,248,115,0.484,0.33066666666666666,0.5470586696699742
12,1.5426683582490952,71.22669021255435,0.7008173660197421,83.25565136331858,750,366,257,109,0.488,0.3426666666666667,0.5527639447047472
13,1.5678121765010813,71.11989188778497,0.6688898604556803,83.37217431834071,750,392,288,104,0.5226666666666666,0.384,0.5518642583723644
14,1.4839912343569688,72.23337614291866,0.6507027917907278,83.54695875087393,750,382,277,105,0.5093333333333333,0.36933333333333335,0.5503110614371892
15,1.4524462910607807,72.75197160583791,0.6372829694843493,83.74504777441156,750,389,280,109,0.5186666666666667,0.37333333333333335,0.5468987901295934
16,1.4083221219026718,73.50862249570561,0.613784195076083,84.25774877650898,750,381,274,107,0.508,0.36533333333333334,0.5461379892199579
17,1.3172325529561755,75.05742516551818,0.6123407900791795,83.91983220694476,750,348,253,95,0.464,0.3373333333333333,0.5478756679847777
18,1.3626847798912938,74.2170726404446,0.5985863466163917,84.49079468655326,750,378,283,95,0.504,0.37733333333333335,0.5448087505992935
19,1.318625693401509,74.79454155742457,0.5839800422382199,84.14122582148683,750,389,278,111,0.5186666666666667,0.37066666666666664,0.5491858242655829
20,1.2379556001673382,76.06507517095605,0.5699708243539855,84.26940107201119,750,364,259,105,0.48533333333333334,0.3453333333333333,0.547515672491324
