epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,best_val_loss,patience_counter,is_best
1,6.132259017002954,0.19458594254584258,5.097882616601438,0.25751389640415173,0.0009335583806061624,5.097882616601438,0,True
2,4.801918308000644,0.27968886018365113,4.519768713356688,0.29588272910620295,0.00186432167624045,4.519768713356688,0,True
3,4.325432151050369,0.3068209261183342,4.2658124198727805,0.31044320920851987,0.002795084971874737,4.2658124198727805,0,True
4,4.02220050277982,0.3232989806520457,4.061116940777338,0.32249495794185645,0.002420917224948535,4.061116940777338,0,True
5,3.744271431613037,0.3403723568560276,3.9346006544395475,0.33567809533179205,0.002165496652110116,3.9346006544395475,0,True
6,3.526477648261115,0.35720423464659795,3.8642064119453736,0.34222047321560334,0.001976917828856583,3.8642064119453736,0,True
7,3.33890625233096,0.3717503018730168,3.831027630151969,0.352009444635742,0.0018303356645544462,3.831027630151969,0,True
8,3.1889619561020472,0.3846171126898992,3.7865150320681815,0.35850263170839686,0.0017121681283718557,3.7865150320681815,0,True
9,3.0481939582260176,0.40015725478082614,3.7715423387329214,0.3647990555364258,0.0016142812443800819,3.7715423387329214,0,True
10,2.921781373568297,0.41363623599449606,3.765667321391239,0.36883270205125684,0.001531467196593505,3.765667321391239,0,True
11,2.816900247243544,0.4289292634298391,3.760384671422675,0.3723744404545231,0.001460216604737493,3.760384671422675,0,True
12,2.7192640969735256,0.43972929712729214,3.7573576831531463,0.3772443307590142,0.0013980668593480807,3.7573576831531463,0,True
13,2.6261037314444624,0.45268596781893233,3.7628143504199665,0.37990063456146395,0.001343232115950559,3.7573576831531463,1,False
14,2.5559945768435752,0.4615483979669203,3.7670976198853086,0.38285208323085246,0.00129438153072141,3.7573576831531463,2,False
15,2.478120193766388,0.47375249220746396,3.7777833808652357,0.385901913522554,0.0012505003002001402,3.7573576831531463,3,False
16,2.416612817608367,0.4834236612282722,3.7915707089568014,0.3883122632692213,0.0012107992828536774,3.7573576831531463,4,False
17,2.350037235713026,0.49287018056218584,3.812198742310093,0.3905258497712627,0.0011746543266004088,3.7573576831531463,5,False
