epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,best_val_loss,patience_counter,is_best
1,6.1132013179576274,0.1939063772429867,5.089028967142844,0.25992424615081905,0.0009335583806061624,5.089028967142844,0,True
2,4.796343837315015,0.28037404172867936,4.507770058514007,0.2985390329086527,0.00186432167624045,4.507770058514007,0,True
3,4.316466824791672,0.3077756872876358,4.245570317015563,0.31349303950022134,0.002795084971874737,4.245570317015563,0,True
4,4.009279768633858,0.3233944567689759,4.048726951174661,0.3281519012248512,0.002420917224948535,4.048726951174661,0,True
5,3.733416300879644,0.34209092696077054,3.9471635324497947,0.33518618722022725,0.002165496652110116,3.9471635324497947,0,True
6,3.5141918120564046,0.35705821235011653,3.874491722973492,0.3440897240395494,0.001976917828856583,3.874491722973492,0,True
7,3.3334000386637688,0.37248602959759625,3.8239355185326382,0.35077967435683016,0.0018303356645544462,3.8239355185326382,0,True
8,3.176203984658006,0.3884361573671057,3.8054227200827637,0.3597815927984652,0.0017121681283718557,3.8054227200827637,0,True
9,3.0411060823546228,0.4022015669315661,3.7941078427350554,0.3655861085149294,0.0016142812443800819,3.7941078427350554,0,True
10,2.9215577659575866,0.41465839206986604,3.7672836106305185,0.3712922426090806,0.001531467196593505,3.7672836106305185,0,True
11,2.813158403272185,0.42851366150908426,3.7721861306796174,0.370505189630577,0.001460216604737493,3.7672836106305185,1,False
12,2.719806127758979,0.440734604476145,3.7734867568632713,0.37739190319248367,0.0013980668593480807,3.7672836106305185,2,False
13,2.631347105732121,0.45304540731796356,3.7740596808957494,0.3816223129519406,0.001343232115950559,3.7672836106305185,3,False
14,2.552671944010124,0.4643228216000674,3.796760657784907,0.3844261891878597,0.00129438153072141,3.7672836106305185,4,False
15,2.486812035700214,0.4730167644828845,3.803623328377103,0.3873284470460918,0.0012505003002001402,3.7672836106305185,5,False
