experiment,epoch,train_loss,train_accuracy,val_loss,val_accuracy
no_aug,1,4.434764271240311,15.485914319053176,3.8471840645877444,42.62409694709858
no_aug,2,3.498878558609243,48.25804300716786,2.7109898474632623,62.631088324399904
no_aug,3,2.646304824547403,61.518586431071846,1.89937302072241,70.33325565136332
no_aug,4,2.0275637663132073,69.80330055009168,1.4128889452741575,75.80983453740387
no_aug,5,1.6310921133428955,73.93732288714786,1.116395455839139,78.0936844558378
no_aug,6,1.353823171116587,77.38789798299716,0.9452333745909749,79.7716150081566
no_aug,7,1.1621072135938963,79.13818969828304,0.8225545187675434,81.16989046842228
no_aug,8,1.0144804989343723,81.41356892815469,0.7423864489556248,82.06711722209275
no_aug,9,0.8947357421597752,83.18053008834806,0.6896738424720088,82.84782102074108
no_aug,10,0.7890469522540977,84.79746624437406,0.6541058927448,83.20904218130971
no_aug,11,0.7113079274867172,86.4394065677613,0.6270865002202977,83.30226054532743
no_aug,12,0.6413989424566404,87.77296216036007,0.610265989100508,83.45374038685621
no_aug,13,0.5805807025616597,88.73978996499416,0.5923878369048546,83.48869727336285
no_aug,14,0.5302083980522467,89.75662610435073,0.5735844269801175,83.75670006991378
no_aug,15,0.48391264312902,91.20686781130189,0.563896024825828,83.98974597995806
no_aug,16,0.44049744284894193,91.69028171361893,0.5572425720922821,83.74504777441156
no_aug,17,0.4054304272716374,92.44874145690949,0.550805868822721,84.10626893498019
no_aug,18,0.36803159933424845,93.46557759626604,0.546774691466934,84.01305057096248
no_aug,19,0.3389774514379293,94.15735955992666,0.5516007145477381,83.90817991144256
no_aug,20,0.31685555416418126,94.82413735622603,0.5426533736220831,83.98974597995806
basic,1,4.434439767418474,15.769294882480413,3.8502877914274913,42.42600792356094
basic,2,3.5032419177527667,48.19969994999167,2.7102062471594683,62.39804241435563
basic,3,2.6548299841492113,61.18519753292215,1.9005665694658809,70.53134467490095
basic,4,2.042086171952858,69.27821303550591,1.4143616148320368,75.70496387788394
basic,5,1.6508861279205433,73.31221870311718,1.1165038972877728,78.00046609182009
basic,6,1.3809147381865992,76.1543590598433,0.9437122989356503,79.69004893964112
basic,7,1.197245904317914,78.03800633438907,0.8243840621835117,81.12328128641343
basic,8,1.0548450051993008,80.03000500083347,0.7430991512499497,81.97389885807505
basic,9,0.9414015441442414,81.62193698949825,0.6865391404832668,83.06921463528315
basic,10,0.8462278428505333,82.84714119019837,0.6565419844302006,83.22069447681193
basic,11,0.7718009150093805,84.68078013002167,0.6234607874888747,83.43043579585178
basic,12,0.7080396246882275,85.0808468078013,0.605508839277031,83.59356793288278
basic,13,0.6531426689290547,86.2810468411402,0.5901199035907342,83.65182941039384
basic,14,0.6051412748483682,86.90615102517086,0.5660047544462924,83.95478909345141
basic,15,0.5609036341699526,88.17302883813969,0.5557900720738886,84.32766254952226
basic,16,0.5215363852440029,88.73978996499416,0.5459329364836508,84.15287811698904
basic,17,0.4888052846475688,89.63993998999834,0.5397409853319054,84.3626194360289
basic,18,0.45057122986611575,90.6984497416236,0.531775138874594,84.49079468655326
basic,19,0.4223347781628127,91.37356226037673,0.5339194944593296,84.08296434397576
basic,20,0.4021623119212604,91.90698449741623,0.5247003007840788,84.52575157305989
morejitter,1,4.437391849970258,15.410901816969496,3.8537801114919996,42.356094150547655
morejitter,2,3.508847134970569,48.21636939489915,2.7122603677919876,62.502913073875554
morejitter,3,2.661286492728456,61.24354059009835,1.9015661251625517,70.3216033558611
morejitter,4,2.0475331708021334,69.17819636606102,1.4137580695337861,75.61174551386623
morejitter,5,1.6563644987242403,73.22887147857976,1.1220422663685325,78.30342577487765
morejitter,6,1.3851734925993564,76.22937156192698,0.9405185822505991,79.86483337217432
morejitter,7,1.2037159507325101,77.47957992998833,0.8250564374837028,81.07667210440457
morejitter,8,1.0606572803288108,79.53825637606268,0.745844140235596,81.99720344907946
morejitter,9,0.9502601491190787,81.22187031171862,0.6897050587065818,82.82451642973666
morejitter,10,0.8460052966733718,82.89714952492082,0.654563698491359,83.278955954323
morejitter,11,0.7783983220635186,84.33905650941824,0.6261164475726347,83.25565136331858
morejitter,12,0.7151265388271136,84.9224870811802,0.6042542444453932,83.75670006991378
morejitter,13,0.6563589881809379,86.02267044507418,0.5895705062160679,83.39547890934514
morejitter,14,0.6101684679705255,86.98116352725454,0.5658108617105952,84.11792123048241
morejitter,15,0.566279807191508,88.2147024504084,0.5559862829663208,84.17618270799348
morejitter,16,0.5270888541843279,88.52308718119687,0.5470631572089532,84.19948729899791
morejitter,17,0.4936176589139801,89.54825804300717,0.5377848463037913,84.53740386856211
morejitter,18,0.4550051493959877,90.40673445574262,0.5293554861530005,84.60731764157539
morejitter,19,0.425897390609146,90.98183030505083,0.5339328194867479,84.24609648100676
morejitter,20,0.4061796346353002,91.75695949324887,0.5267207938748011,84.38592402703333
rotationaug,1,4.443034732753107,15.24420736789465,3.860569503917974,41.6336518294104
rotationaug,2,3.5251167370967416,47.38289714952492,2.7222071923567293,62.036821253787
rotationaug,3,2.6803781455269373,60.96849474912485,1.9065156375797887,69.9836867862969
rotationaug,4,2.0702572333890212,68.01966994499084,1.4173556847662339,75.43696108133302
rotationaug,5,1.6807712428985904,72.42040340056676,1.1204127959509436,77.74411559077139
rotationaug,6,1.4114634700567847,75.00416736122688,0.9376439585521265,79.48030762060125
rotationaug,7,1.2265210380592353,77.10451741956993,0.8293444198957554,80.936844558378
rotationaug,8,1.091792561467796,78.39639939989998,0.7485877019601723,81.92728967606618
rotationaug,9,0.9785940396346575,80.17169528254709,0.6867076415638912,82.64973199720345
rotationaug,10,0.8802165318914484,81.77196199366561,0.6547731039991359,83.04591004427873
rotationaug,11,0.8129705702747816,82.84714119019837,0.6250224979266618,83.17408529480308
rotationaug,12,0.7505952269261152,83.78896482747125,0.6028200756889545,83.55861104637614
rotationaug,13,0.6976087765209594,84.605767627938,0.5896693212575942,83.25565136331858
rotationaug,14,0.6579605859505134,85.40590098349725,0.5686626996548964,84.03635516196691
rotationaug,15,0.6147352026132449,86.4394065677613,0.552516456418203,84.4441855045444
rotationaug,16,0.5717158668695798,87.22287047841307,0.5418564276910834,84.14122582148683
rotationaug,17,0.5428825056757564,87.60626771128521,0.5366237658396992,84.52575157305989
rotationaug,18,0.5054317847463087,88.8648108018003,0.5274979640861903,84.63062223257982
rotationaug,19,0.4828779072558051,89.08984830805134,0.5289130814771112,84.63062223257982
rotationaug,20,0.46317512087075585,89.69828304717453,0.5211709122353849,84.58401305057096
basic_mixup,1,4.650730330261673,5.711899761593856,4.233015750399616,24.44651596364484
basic_mixup,2,4.258187856171842,22.6589769823232,3.427339252239895,51.5847121883011
basic_mixup,3,3.8205234867311515,33.88544350891109,2.628106462235941,61.57072943369844
