,no_mix,mixup_alpha1.0,cutmix_alpha1.0,mixup_alpha0.2,cutmix_alpha0.2
no_aug,84.10626893498019,,,84.39757632253554,84.43253320904218
basic,84.52575157305989,83.45374038685621,83.83826613842928,84.53740386856211,84.39757632253554
morejitter,84.60731764157539,83.51200186436728,83.69843859240271,84.66557911908646,84.4441855045444
rotationaug,84.63062223257982,83.45374038685621,83.45374038685621,84.70053600559311,84.24609648100676
