experiment,epoch,augmentation,batch_mix,mix_alpha,val_accuracy,val_loss
no_aug,1,none,none,,42.62409694709858,3.8471840645877444
no_aug,2,none,none,,62.631088324399904,2.7109898474632623
no_aug,3,none,none,,70.33325565136332,1.89937302072241
no_aug,4,none,none,,75.80983453740387,1.4128889452741575
no_aug,5,none,none,,78.0936844558378,1.116395455839139
no_aug,6,none,none,,79.7716150081566,0.9452333745909749
no_aug,7,none,none,,81.16989046842228,0.8225545187675434
no_aug,8,none,none,,82.06711722209275,0.7423864489556248
no_aug,9,none,none,,82.84782102074108,0.6896738424720088
no_aug,10,none,none,,83.20904218130971,0.6541058927448
no_aug,11,none,none,,83.30226054532743,0.6270865002202977
no_aug,12,none,none,,83.45374038685621,0.610265989100508
no_aug,13,none,none,,83.48869727336285,0.5923878369048546
no_aug,14,none,none,,83.75670006991378,0.5735844269801175
no_aug,15,none,none,,83.98974597995806,0.563896024825828
no_aug,16,none,none,,83.74504777441156,0.5572425720922821
no_aug,17,none,none,,84.10626893498019,0.550805868822721
no_aug,18,none,none,,84.01305057096248,0.546774691466934
no_aug,19,none,none,,83.90817991144256,0.5516007145477381
no_aug,20,none,none,,83.98974597995806,0.5426533736220831
basic,1,basic,none,,42.42600792356094,3.8502877914274913
basic,2,basic,none,,62.39804241435563,2.7102062471594683
basic,3,basic,none,,70.53134467490095,1.9005665694658809
basic,4,basic,none,,75.70496387788394,1.4143616148320368
basic,5,basic,none,,78.00046609182009,1.1165038972877728
basic,6,basic,none,,79.69004893964112,0.9437122989356503
basic,7,basic,none,,81.12328128641343,0.8243840621835117
basic,8,basic,none,,81.97389885807505,0.7430991512499497
basic,9,basic,none,,83.06921463528315,0.6865391404832668
basic,10,basic,none,,83.22069447681193,0.6565419844302006
basic,11,basic,none,,83.43043579585178,0.6234607874888747
basic,12,basic,none,,83.59356793288278,0.605508839277031
basic,13,basic,none,,83.65182941039384,0.5901199035907342
basic,14,basic,none,,83.95478909345141,0.5660047544462924
basic,15,basic,none,,84.32766254952226,0.5557900720738886
basic,16,basic,none,,84.15287811698904,0.5459329364836508
basic,17,basic,none,,84.3626194360289,0.5397409853319054
basic,18,basic,none,,84.49079468655326,0.531775138874594
basic,19,basic,none,,84.08296434397576,0.5339194944593296
basic,20,basic,none,,84.52575157305989,0.5247003007840788
basic_mixup,1,basic,mixup,1.0,24.44651596364484,4.233015750399616
basic_mixup,2,basic,mixup,1.0,51.5847121883011,3.427339252239895
basic_mixup,3,basic,mixup,1.0,61.57072943369844,2.628106462235941
basic_mixup,4,basic,mixup,1.0,68.18923327895595,2.064989781774193
basic_mixup,5,basic,mixup,1.0,70.76439058494523,1.6500627218051769
basic_mixup,6,basic,mixup,1.0,73.75903052901421,1.3686952853475076
basic_mixup,7,basic,mixup,1.0,76.49731997203449,1.2228122429535455
basic_mixup,8,basic,mixup,1.0,78.0121183873223,1.0973943764444998
basic_mixup,9,basic,mixup,1.0,78.99091120950827,0.9696468046649968
basic_mixup,10,basic,mixup,1.0,79.9347471451876,0.9319159299642216
basic_mixup,11,basic,mixup,1.0,80.72710323933815,0.8635000613457505
basic_mixup,12,basic,mixup,1.0,80.98345374038685,0.8271734602132952
basic_mixup,13,basic,mixup,1.0,81.41458867396877,0.7955554891955017
basic_mixup,14,basic,mixup,1.0,82.61477511069681,0.7633070277323175
basic_mixup,15,basic,mixup,1.0,82.54486133768353,0.7332045242409139
basic_mixup,16,basic,mixup,1.0,82.66138429270566,0.716643967305661
basic_mixup,17,basic,mixup,1.0,83.45374038685621,0.6953184227931196
basic_mixup,18,basic,mixup,1.0,83.41878350034956,0.6864963066352884
basic_mixup,19,basic,mixup,1.0,83.38382661384293,0.684305269126152
basic_mixup,20,basic,mixup,1.0,83.39547890934514,0.6721720296557037
basic_cutmix,1,basic,cutmix,1.0,20.403169424376603,4.330129830216617
basic_cutmix,2,basic,cutmix,1.0,48.28711256117455,3.6265320347283887
basic_cutmix,3,basic,cutmix,1.0,60.18410626893498,2.8940425205275164
basic_cutmix,4,basic,cutmix,1.0,66.75600093218364,2.321810411367903
basic_cutmix,5,basic,cutmix,1.0,69.21463528315078,1.8431564133863465
basic_cutmix,6,basic,cutmix,1.0,72.34910277324633,1.548896527934869
basic_cutmix,7,basic,cutmix,1.0,75.21556746679096,1.3295631347850496
basic_cutmix,8,basic,cutmix,1.0,76.43905849452342,1.1909589622160184
basic_cutmix,9,basic,cutmix,1.0,78.0936844558378,1.038825582093888
basic_cutmix,10,basic,cutmix,1.0,79.16569564204148,0.978897056346783
basic_cutmix,11,basic,cutmix,1.0,80.4357958517828,0.9161121007502149
basic_cutmix,12,basic,cutmix,1.0,80.89023537636915,0.8655299976471559
basic_cutmix,13,basic,cutmix,1.0,81.36797949195991,0.8303362693549925
basic_cutmix,14,basic,cutmix,1.0,81.62432999300863,0.7857057282458483
basic_cutmix,15,basic,cutmix,1.0,82.33512001864368,0.7628188471615217
basic_cutmix,16,basic,cutmix,1.0,82.57981822419016,0.7404522693148862
basic_cutmix,17,basic,cutmix,1.0,83.25565136331858,0.7170247570308764
basic_cutmix,18,basic,cutmix,1.0,83.74504777441156,0.697163861452408
basic_cutmix,19,basic,cutmix,1.0,83.13912840829643,0.6922227609438153
basic_cutmix,20,basic,cutmix,1.0,83.83826613842928,0.6769218019354568
morejitter,1,morejitter,none,,42.356094150547655,3.8537801114919996
morejitter,2,morejitter,none,,62.502913073875554,2.7122603677919876
morejitter,3,morejitter,none,,70.3216033558611,1.9015661251625517
morejitter,4,morejitter,none,,75.61174551386623,1.4137580695337861
morejitter,5,morejitter,none,,78.30342577487765,1.1220422663685325
morejitter,6,morejitter,none,,79.86483337217432,0.9405185822505991
morejitter,7,morejitter,none,,81.07667210440457,0.8250564374837028
morejitter,8,morejitter,none,,81.99720344907946,0.745844140235596
morejitter,9,morejitter,none,,82.82451642973666,0.6897050587065818
morejitter,10,morejitter,none,,83.278955954323,0.654563698491359
morejitter,11,morejitter,none,,83.25565136331858,0.6261164475726347
morejitter,12,morejitter,none,,83.75670006991378,0.6042542444453932
morejitter,13,morejitter,none,,83.39547890934514,0.5895705062160679
morejitter,14,morejitter,none,,84.11792123048241,0.5658108617105952
morejitter,15,morejitter,none,,84.17618270799348,0.5559862829663208
morejitter,16,morejitter,none,,84.19948729899791,0.5470631572089532
morejitter,17,morejitter,none,,84.53740386856211,0.5377848463037913
morejitter,18,morejitter,none,,84.60731764157539,0.5293554861530005
morejitter,19,morejitter,none,,84.24609648100676,0.5339328194867479
morejitter,20,morejitter,none,,84.38592402703333,0.5267207938748011
morejitter_mixup,1,morejitter,mixup,1.0,24.44651596364484,4.233858155526361
morejitter_mixup,2,morejitter,mixup,1.0,51.16522955022139,3.428916025539568
morejitter_mixup,3,morejitter,mixup,1.0,61.36098811465859,2.632943044423335
morejitter_mixup,4,morejitter,mixup,1.0,68.0610580284316,2.063287761933152
morejitter_mixup,5,morejitter,mixup,1.0,70.77604288044745,1.6482321118675058
morejitter_mixup,6,morejitter,mixup,1.0,73.95711955255186,1.363377090073832
morejitter_mixup,7,morejitter,mixup,1.0,76.74201817758099,1.227558563261759
morejitter_mixup,8,morejitter,mixup,1.0,78.08203216033559,1.0966984500587196
morejitter_mixup,9,morejitter,mixup,1.0,79.16569564204148,0.9750291977248751
morejitter_mixup,10,morejitter,mixup,1.0,80.08622698671638,0.9334874676952437
morejitter_mixup,11,morejitter,mixup,1.0,80.79701701235143,0.8696647912187472
morejitter_mixup,12,morejitter,mixup,1.0,81.29806571894663,0.838210930123637
morejitter_mixup,13,morejitter,mixup,1.0,81.32137030995106,0.7939062699713759
morejitter_mixup,14,morejitter,mixup,1.0,82.5215567466791,0.7653910282107673
morejitter_mixup,15,morejitter,mixup,1.0,82.6031228151946,0.7407357961849242
morejitter_mixup,16,morejitter,mixup,1.0,82.62642740619903,0.7180784923634144
morejitter_mixup,17,morejitter,mixup,1.0,83.51200186436728,0.6983893846012557
