experiment,epoch,seed,mix_alpha,augmentation,batch_mix,max_epochs,patience,train_loss,train_accuracy,val_loss,val_accuracy
rotationaug_mixup_alpha0.2_max40_patience10,40,42,0.2,rotationaug,mixup,40,10,1.024037088055594,83.05828111003119,0.536112304341957,85.07340946166394
rotationaug_cutmix_alpha0.2_max40_patience10,1,42,0.2,rotationaug,cutmix,40,10,4.647583828903989,5.802710647884344,4.23749145509146,24.51642973665812
rotationaug_cutmix_alpha0.2_max40_patience10,2,42,0.2,rotationaug,cutmix,40,10,4.2289305324653,23.039716500634878,3.4137696803685698,52.295502213936146
rotationaug_cutmix_alpha0.2_max40_patience10,3,42,0.2,rotationaug,cutmix,40,10,3.772460487290688,34.677521721307265,2.626620487521173,63.43509671405267
rotationaug_cutmix_alpha0.2_max40_patience10,4,42,0.2,rotationaug,cutmix,40,10,3.376650021739514,41.869227420662796,2.064468517305689,69.2379398741552
rotationaug_cutmix_alpha0.2_max40_patience10,5,42,0.2,rotationaug,cutmix,40,10,3.065637757647413,45.84881769596592,1.6362074356594722,71.99953390817991
rotationaug_cutmix_alpha0.2_max40_patience10,6,42,0.2,rotationaug,cutmix,40,10,2.843910947643254,48.171942347534056,1.3561806370678051,74.83104171521789
rotationaug_cutmix_alpha0.2_max40_patience10,7,42,0.2,rotationaug,cutmix,40,10,2.678404612985526,49.92635723885531,1.167446739521929,77.30132836168725
rotationaug_cutmix_alpha0.2_max40_patience10,8,42,0.2,rotationaug,cutmix,40,10,2.568743138298191,51.05102468050584,1.0406920583729866,78.52481938941972
rotationaug_cutmix_alpha0.2_max40_patience10,9,42,0.2,rotationaug,cutmix,40,10,2.4574710228658154,52.42824736839644,0.9250322636872342,79.88813796317875
rotationaug_cutmix_alpha0.2_max40_patience10,10,42,0.2,rotationaug,cutmix,40,10,2.39181256743347,54.024674951139836,0.8870913102976289,80.3542297832673
rotationaug_cutmix_alpha0.2_max40_patience10,11,42,0.2,rotationaug,cutmix,40,10,2.324771211313832,54.81420219962254,0.8188467345935596,81.48450244698205
rotationaug_cutmix_alpha0.2_max40_patience10,12,42,0.2,rotationaug,cutmix,40,10,2.359024920926966,53.67140271677931,0.7872402112235614,81.83407131204848
rotationaug_cutmix_alpha0.2_max40_patience10,13,42,0.2,rotationaug,cutmix,40,10,2.1531113170945537,58.336658130574875,0.7542514476540538,82.23024935912375
rotationaug_cutmix_alpha0.2_max40_patience10,14,42,0.2,rotationaug,cutmix,40,10,2.1130574489955327,58.14911209159859,0.7177333699826232,82.6031228151946
rotationaug_cutmix_alpha0.2_max40_patience10,15,42,0.2,rotationaug,cutmix,40,10,2.1253594739334964,58.01377451088784,0.6892471626848921,83.3605220228385
rotationaug_cutmix_alpha0.2_max40_patience10,16,42,0.2,rotationaug,cutmix,40,10,2.112272421028797,58.2387382644131,0.6806572075074604,83.75670006991378
rotationaug_cutmix_alpha0.2_max40_patience10,17,42,0.2,rotationaug,cutmix,40,10,2.0947467796721844,58.43798075481752,0.6643807864000235,83.96644138895363
rotationaug_cutmix_alpha0.2_max40_patience10,18,42,0.2,rotationaug,cutmix,40,10,2.0749738767238872,58.97845534709659,0.6434153320349838,84.08296434397576
rotationaug_cutmix_alpha0.2_max40_patience10,19,42,0.2,rotationaug,cutmix,40,10,2.0678925286890926,58.55863888533932,0.6554328384057149,84.16453041249126
rotationaug_cutmix_alpha0.2_max40_patience10,20,42,0.2,rotationaug,cutmix,40,10,1.9786655605187076,60.34609167562149,0.6304027001025987,84.32766254952226
rotationaug_cutmix_alpha0.2_max40_patience10,21,42,0.2,rotationaug,cutmix,40,10,2.000618794179396,60.174984853449196,0.6376875355732077,84.09461663947798
rotationaug_cutmix_alpha0.2_max40_patience10,22,42,0.2,rotationaug,cutmix,40,10,2.002235746399564,60.01799005058458,0.6126205184831399,84.07131204847354
rotationaug_cutmix_alpha0.2_max40_patience10,23,42,0.2,rotationaug,cutmix,40,10,1.9491390874731995,61.129320374877494,0.6208785134119132,84.68888371009089
rotationaug_cutmix_alpha0.2_max40_patience10,24,42,0.2,rotationaug,cutmix,40,10,1.92990564131542,61.132251049069346,0.6046492524342614,84.30435795851783
rotationaug_cutmix_alpha0.2_max40_patience10,25,42,0.2,rotationaug,cutmix,40,10,1.8631812269875638,62.368345072286694,0.5746121564283151,84.75879748310417
rotationaug_cutmix_alpha0.2_max40_patience10,26,42,0.2,rotationaug,cutmix,40,10,1.793514424462103,64.42641621445834,0.5760600240920646,84.79375436961081
rotationaug_cutmix_alpha0.2_max40_patience10,27,42,0.2,rotationaug,cutmix,40,10,1.8861135956366313,62.39550501188971,0.5839801114135009,85.06175716616174
rotationaug_cutmix_alpha0.2_max40_patience10,28,42,0.2,rotationaug,cutmix,40,10,1.8110994448918545,63.45906798800014,0.5835211810268908,84.98019109764624
rotationaug_cutmix_alpha0.2_max40_patience10,29,42,0.2,rotationaug,cutmix,40,10,1.8500477641915298,63.07072782751205,0.5746715726954652,85.03845257515731
rotationaug_cutmix_alpha0.2_max40_patience10,30,42,0.2,rotationaug,cutmix,40,10,1.8609407291270867,62.68447948701488,0.5718007990458828,85.06175716616174
rotationaug_cutmix_alpha0.2_max40_patience10,31,42,0.2,rotationaug,cutmix,40,10,1.7116463566784224,65.87092779972262,0.5648729262083068,84.95688650664181
rotationaug_cutmix_alpha0.2_max40_patience10,32,42,0.2,rotationaug,cutmix,40,10,1.8398324904153298,62.466824063842665,0.578746442131106,85.14332323467723
rotationaug_cutmix_alpha0.2_max40_patience10,33,42,0.2,rotationaug,cutmix,40,10,1.80412909252919,63.83273999376169,0.572163710058555,85.14332323467723
rotationaug_cutmix_alpha0.2_max40_patience10,34,42,0.2,rotationaug,cutmix,40,10,1.756680584367185,64.92689589952921,0.566743649745482,85.12001864367281
rotationaug_cutmix_alpha0.2_max40_patience10,35,42,0.2,rotationaug,cutmix,40,10,1.7922239192507032,64.10248477451381,0.5569644062162362,85.32975996271266
rotationaug_cutmix_alpha0.2_max40_patience10,36,42,0.2,rotationaug,cutmix,40,10,1.7730215253343502,63.88779856299384,0.5524541650846881,85.02680027965509
rotationaug_cutmix_alpha0.2_max40_patience10,37,42,0.2,rotationaug,cutmix,40,10,1.6875848811275662,66.23161816297615,0.5511472710457973,85.12001864367281
rotationaug_cutmix_alpha0.2_max40_patience10,38,42,0.2,rotationaug,cutmix,40,10,1.7047512850615953,66.16208146856317,0.5471740736949696,85.38802144022372
rotationaug_cutmix_alpha0.2_max40_patience10,39,42,0.2,rotationaug,cutmix,40,10,1.7221961582595258,65.40484977460102,0.5645810536600943,84.94523421113959
rotationaug_cutmix_alpha0.2_max40_patience10,40,42,0.2,rotationaug,cutmix,40,10,1.6974843771860268,65.24437497262515,0.5873659629695095,84.75879748310417
