label,epoch,val_loss,val_accuracy
Mixup | alpha=1.0 | 20 epoch,1,4.244505207401366,22.803542297832674
Mixup | alpha=1.0 | 20 epoch,2,3.4379981193084648,50.65252854812398
Mixup | alpha=1.0 | 20 epoch,3,2.650468208883726,61.058028431601024
Mixup | alpha=1.0 | 20 epoch,4,2.0722242237887607,67.95618736891167
Mixup | alpha=1.0 | 20 epoch,5,1.6652320110556185,70.26334187835003
Mixup | alpha=1.0 | 20 epoch,6,1.361755581981123,73.66581216499651
Mixup | alpha=1.0 | 20 epoch,7,1.2381596716098702,76.05453274295036
Mixup | alpha=1.0 | 20 epoch,8,1.1029432755865658,77.95385690981124
Mixup | alpha=1.0 | 20 epoch,9,0.9626680477130555,79.03752039151713
Mixup | alpha=1.0 | 20 epoch,10,0.9290952501917075,79.65509205313447
Mixup | alpha=1.0 | 20 epoch,11,0.8657517089929316,80.6804940573293
Mixup | alpha=1.0 | 20 epoch,12,0.830731734268817,81.26310883244
Mixup | alpha=1.0 | 20 epoch,13,0.7989765911412333,81.14658587741785
Mixup | alpha=1.0 | 20 epoch,14,0.7714017383759463,82.24190165462596
Mixup | alpha=1.0 | 20 epoch,15,0.7404210026156955,82.2768585411326
Mixup | alpha=1.0 | 20 epoch,16,0.7225661369310173,82.33512001864368
Mixup | alpha=1.0 | 20 epoch,17,0.700502064269174,83.23234677231414
Mixup | alpha=1.0 | 20 epoch,18,0.6910242268434079,83.278955954323
Mixup | alpha=1.0 | 20 epoch,19,0.6906111670787782,82.96434397576323
Mixup | alpha=1.0 | 20 epoch,20,0.6725994008830921,83.45374038685621
Cutmix | alpha=1.0 | 20 epoch,1,4.345057626282855,18.597063621533444
Cutmix | alpha=1.0 | 20 epoch,2,3.6361410845634516,47.04031694243766
Cutmix | alpha=1.0 | 20 epoch,3,2.9080743520194847,59.438359356793285
Cutmix | alpha=1.0 | 20 epoch,4,2.3390224988964494,65.99860172453974
Cutmix | alpha=1.0 | 20 epoch,5,1.863146491218519,68.900023304591
Cutmix | alpha=1.0 | 20 epoch,6,1.5457576038231247,72.08109997669541
Cutmix | alpha=1.0 | 20 epoch,7,1.3453316364886183,75.15730598927989
Cutmix | alpha=1.0 | 20 epoch,8,1.2009523081851712,76.15940340247029
Cutmix | alpha=1.0 | 20 epoch,9,1.0354631005592543,77.95385690981124
Cutmix | alpha=1.0 | 20 epoch,10,0.9810374483198754,79.00256350501049
Cutmix | alpha=1.0 | 20 epoch,11,0.916553516150132,79.89979025868097
Cutmix | alpha=1.0 | 20 epoch,12,0.8646974782514784,80.5989279888138
Cutmix | alpha=1.0 | 20 epoch,13,0.8303103601424129,81.16989046842228
Cutmix | alpha=1.0 | 20 epoch,14,0.7918198471496056,81.23980424143556
Cutmix | alpha=1.0 | 20 epoch,15,0.7626531262326646,82.31181542763925
Cutmix | alpha=1.0 | 20 epoch,16,0.7432841572470388,82.50990445117688
Cutmix | alpha=1.0 | 20 epoch,17,0.7134180566392782,82.9410393847588
Cutmix | alpha=1.0 | 20 epoch,18,0.6998843492619282,83.3605220228385
Cutmix | alpha=1.0 | 20 epoch,19,0.699022764552309,83.45374038685621
Cutmix | alpha=1.0 | 20 epoch,20,0.679291942213499,83.33721743183408
Mixup | alpha=0.2 | 20 epoch,1,4.0142943697413545,35.48123980424143
Mixup | alpha=0.2 | 20 epoch,2,2.951876802062188,58.73922162666045
Mixup | alpha=0.2 | 20 epoch,3,2.1339261886874046,67.24539734327662
Mixup | alpha=0.2 | 20 epoch,4,1.618194824580795,73.02493591237474
Mixup | alpha=0.2 | 20 epoch,5,1.2942345274881004,75.83313912840829
Mixup | alpha=0.2 | 20 epoch,6,1.082395272373292,78.30342577487765
Mixup | alpha=0.2 | 20 epoch,7,0.9470732389727663,80.14448846422745
Mixup | alpha=0.2 | 20 epoch,8,0.8554144104414402,80.80866930785365
Mixup | alpha=0.2 | 20 epoch,9,0.7755236526770182,81.83407131204848
Mixup | alpha=0.2 | 20 epoch,10,0.7399046932225793,82.1836401771149
Mixup | alpha=0.2 | 20 epoch,11,0.7080368138476425,82.49825215567466
Mixup | alpha=0.2 | 20 epoch,12,0.6813305575540365,82.91773479375436
Mixup | alpha=0.2 | 20 epoch,13,0.6606711410081517,82.82451642973666
Mixup | alpha=0.2 | 20 epoch,14,0.6339983782049271,83.64017711489163
Mixup | alpha=0.2 | 20 epoch,15,0.6104218664493797,84.09461663947798
Mixup | alpha=0.2 | 20 epoch,16,0.6051368192758518,83.90817991144256
Mixup | alpha=0.2 | 20 epoch,17,0.5890232714648792,84.70053600559311
Mixup | alpha=0.2 | 20 epoch,18,0.5877367863772327,84.51409927755768
Mixup | alpha=0.2 | 20 epoch,19,0.5829094111349887,84.35096714052668
Mixup | alpha=0.2 | 20 epoch,20,0.567809359756724,84.52575157305989
Cutmix | alpha=0.2 | 20 epoch,1,4.237618812951306,24.493125145653693
Cutmix | alpha=0.2 | 20 epoch,2,3.4135827637585523,52.342111395945004
Cutmix | alpha=0.2 | 20 epoch,3,2.6264682345611456,63.458401305057095
Cutmix | alpha=0.2 | 20 epoch,4,2.0645770463763458,69.24959216965742
Cutmix | alpha=0.2 | 20 epoch,5,1.6362670040497327,72.01118620368213
Cutmix | alpha=0.2 | 20 epoch,6,1.356215892347026,74.79608482871126
Cutmix | alpha=0.2 | 20 epoch,7,1.1674663256832114,77.28967606618504
Cutmix | alpha=0.2 | 20 epoch,8,1.040752388191401,78.46655791190865
Cutmix | alpha=0.2 | 20 epoch,9,0.9250859670276771,79.86483337217432
Cutmix | alpha=0.2 | 20 epoch,10,0.8870296358812164,80.3542297832673
Cutmix | alpha=0.2 | 20 epoch,11,0.8188400159652237,81.49615474248426
Cutmix | alpha=0.2 | 20 epoch,12,0.7874401519554697,81.89233278955955
Cutmix | alpha=0.2 | 20 epoch,13,0.7543141089433614,82.25355395012818
Cutmix | alpha=0.2 | 20 epoch,14,0.717862542262863,82.61477511069681
Cutmix | alpha=0.2 | 20 epoch,15,0.689292993239383,83.33721743183408
Cutmix | alpha=0.2 | 20 epoch,16,0.680693116868134,83.72174318340713
Cutmix | alpha=0.2 | 20 epoch,17,0.6640860547943844,83.9431367979492
Cutmix | alpha=0.2 | 20 epoch,18,0.6434650881060963,84.11792123048241
Cutmix | alpha=0.2 | 20 epoch,19,0.655689960091688,84.15287811698904
Cutmix | alpha=0.2 | 20 epoch,20,0.6303576403732651,84.24609648100676
Mixup | alpha=0.2 | max 40 epoch,1,4.014279732807509,35.504544395245865
Mixup | alpha=0.2 | max 40 epoch,2,2.9519805145330347,58.73922162666045
Mixup | alpha=0.2 | max 40 epoch,3,2.1339526202011374,67.28035422978327
Mixup | alpha=0.2 | max 40 epoch,4,1.6183602311510608,73.03658820787695
Mixup | alpha=0.2 | max 40 epoch,5,1.2942249634081988,75.85644371941272
Mixup | alpha=0.2 | max 40 epoch,6,1.0826132090823464,78.30342577487765
Mixup | alpha=0.2 | max 40 epoch,7,0.9471903219975338,80.0978792822186
Mixup | alpha=0.2 | max 40 epoch,8,0.8553128607121416,80.75040783034258
Mixup | alpha=0.2 | max 40 epoch,9,0.7754909296575834,81.86902819855511
Mixup | alpha=0.2 | max 40 epoch,10,0.7399241094599235,82.19529247261711
Mixup | alpha=0.2 | max 40 epoch,11,0.7078913941552272,82.55651363318574
Mixup | alpha=0.2 | max 40 epoch,12,0.6809061673575975,82.9410393847588
Mixup | alpha=0.2 | max 40 epoch,13,0.6605606183142296,82.8594733162433
Mixup | alpha=0.2 | max 40 epoch,14,0.6341323088832848,83.62852481938943
Mixup | alpha=0.2 | max 40 epoch,15,0.6105244986398657,84.07131204847354
Mixup | alpha=0.2 | max 40 epoch,16,0.6051417148438292,83.95478909345141
Mixup | alpha=0.2 | max 40 epoch,17,0.589317309768904,84.64227452808203
Mixup | alpha=0.2 | max 40 epoch,18,0.5874172376811269,84.51409927755768
Mixup | alpha=0.2 | max 40 epoch,19,0.5830221125307796,84.3626194360289
Mixup | alpha=0.2 | max 40 epoch,20,0.5681913767181002,84.53740386856211
Mixup | alpha=0.2 | max 40 epoch,21,0.5662905481472296,84.67723141458868
Mixup | alpha=0.2 | max 40 epoch,22,0.5601713051123098,84.49079468655326
Mixup | alpha=0.2 | max 40 epoch,23,0.5682828719661498,84.75879748310417
Mixup | alpha=0.2 | max 40 epoch,24,0.5596333209228138,84.47914239105104
Mixup | alpha=0.2 | max 40 epoch,25,0.5356741238657174,85.03845257515731
Mixup | alpha=0.2 | max 40 epoch,26,0.549261893829636,84.68888371009089
Mixup | alpha=0.2 | max 40 epoch,27,0.5672259908251983,84.58401305057096
Mixup | alpha=0.2 | max 40 epoch,28,0.5424160320521012,84.73549289209974
Mixup | alpha=0.2 | max 40 epoch,29,0.5548624764217194,84.93358191563738
Mixup | alpha=0.2 | max 40 epoch,30,0.5251397207202235,85.03845257515731
Mixup | alpha=0.2 | max 40 epoch,31,0.5419634672290266,84.66557911908646
Mixup | alpha=0.2 | max 40 epoch,32,0.5439795949289055,84.85201584712188
