experiment,batch_mix,mix_alpha,max_epochs,actual_epochs,patience,early_stopped,best_loss_epoch,best_val_loss,val_accuracy_at_best_loss,best_acc_epoch,best_val_accuracy,final_val_accuracy,final_val_loss
rotationaug_mixup_alpha0.2_max40_patience10,mixup,0.2,40,40,10,False,30,0.5251397207202235,85.03845257515731,35,85.29480307620601,85.07340946166394,0.536112304341957
rotationaug_cutmix_alpha0.2_max40_patience10,cutmix,0.2,40,40,10,False,38,0.5471740736949696,85.38802144022372,38,85.38802144022372,84.75879748310417,0.5873659629695095
