model,setting,max_epochs,actual_epochs,patience,early_stopped,best_loss_epoch,best_val_loss,val_acc_at_best_loss,best_acc_epoch,best_val_accuracy,final_val_accuracy,final_val_loss
Mixup,"alpha=1.0, 20 epoch",20,20,,False,20,0.6725994008830921,83.45374038685621,20,83.45374038685621,83.45374038685621,0.6725994008830921
Cutmix,"alpha=1.0, 20 epoch",20,20,,False,20,0.679291942213499,83.33721743183408,19,83.45374038685621,83.33721743183408,0.679291942213499
Mixup,"alpha=0.2, 20 epoch",20,20,,False,20,0.567809359756724,84.52575157305989,17,84.70053600559311,84.52575157305989,0.567809359756724
Cutmix,"alpha=0.2, 20 epoch",20,20,,False,20,0.6303576403732651,84.24609648100676,20,84.24609648100676,84.24609648100676,0.6303576403732651
Mixup,"alpha=0.2, max 40 epoch, patience=10",40,40,10.0,False,30,0.5251397207202235,85.03845257515731,35,85.29480307620601,85.07340946166394,0.536112304341957
Cutmix,"alpha=0.2, max 40 epoch, patience=10",40,40,10.0,False,38,0.5471740736949696,85.38802144022372,38,85.38802144022372,84.75879748310417,0.5873659629695095
