experiment,augmentation,batch_mix,mix_alpha,mix_probability,mean_actual_mix_ratio,best_epoch,best_val_accuracy,final_val_accuracy,final_val_loss
rotationaug_mixup_alpha0.2_p0.5,rotationaug,mixup,0.2,0.5,0.4993333333333333,18,84.67723141458868,84.65392682358424,0.5444140469269496
rotationaug_cutmix_alpha0.2_p0.5,rotationaug,cutmix,0.2,0.5,0.4993333333333333,17,84.61896993707761,84.56070845956654,0.5599354065275781
no_aug_mixup_alpha0.2_p0.5,none,mixup,0.2,0.5,0.4993333333333333,20,84.30435795851783,84.30435795851783,0.5562516454701878
no_aug_cutmix_alpha0.2_p0.5,none,cutmix,0.2,0.5,0.4993333333333333,18,84.49079468655326,84.42088091353996,0.5678653967419417
basic_mixup_alpha0.2_p0.5,basic,mixup,0.2,0.5,0.4993333333333333,20,84.60731764157539,84.60731764157539,0.5458125162099631
basic_cutmix_alpha0.2_p0.5,basic,cutmix,0.2,0.5,0.4993333333333333,18,84.80540666511303,84.68888371009089,0.5577629035904368
morejitter_mixup_alpha0.2_p0.5,morejitter,mixup,0.2,0.5,0.4993333333333333,20,84.54905616406433,84.54905616406433,0.5467012483071847
morejitter_cutmix_alpha0.2_p0.5,morejitter,cutmix,0.2,0.5,0.4993333333333333,20,84.71218830109531,84.71218830109531,0.5598224410086182
