experiment,epoch,train_loss,train_accuracy,val_loss,val_accuracy,augmentation,batch_mix,mix_alpha,mix_probability,seed,mixed_batches,total_batches,actual_mix_ratio,condition
no_aug,1,4.434764271240311,15.485914319053176,3.847184064587744,42.62409694709858,none,none,,,,,,,no_mix
no_aug,2,3.498878558609243,48.25804300716786,2.7109898474632623,62.631088324399904,none,none,,,,,,,no_mix
no_aug,3,2.646304824547403,61.518586431071846,1.89937302072241,70.33325565136332,none,none,,,,,,,no_mix
no_aug,4,2.027563766313208,69.80330055009168,1.4128889452741575,75.80983453740387,none,none,,,,,,,no_mix
no_aug,5,1.6310921133428955,73.93732288714786,1.116395455839139,78.0936844558378,none,none,,,,,,,no_mix
no_aug,6,1.353823171116587,77.38789798299716,0.9452333745909748,79.7716150081566,none,none,,,,,,,no_mix
no_aug,7,1.1621072135938963,79.13818969828304,0.8225545187675434,81.16989046842228,none,none,,,,,,,no_mix
no_aug,8,1.0144804989343723,81.41356892815469,0.7423864489556248,82.06711722209275,none,none,,,,,,,no_mix
no_aug,9,0.8947357421597752,83.18053008834806,0.6896738424720088,82.84782102074108,none,none,,,,,,,no_mix
no_aug,10,0.7890469522540977,84.79746624437406,0.6541058927448,83.20904218130971,none,none,,,,,,,no_mix
no_aug,11,0.7113079274867172,86.4394065677613,0.6270865002202977,83.30226054532743,none,none,,,,,,,no_mix
no_aug,12,0.6413989424566404,87.77296216036007,0.610265989100508,83.45374038685621,none,none,,,,,,,no_mix
no_aug,13,0.5805807025616597,88.73978996499416,0.5923878369048546,83.48869727336285,none,none,,,,,,,no_mix
no_aug,14,0.5302083980522467,89.75662610435073,0.5735844269801175,83.75670006991378,none,none,,,,,,,no_mix
no_aug,15,0.48391264312902,91.20686781130188,0.563896024825828,83.98974597995806,none,none,,,,,,,no_mix
no_aug,16,0.4404974428489419,91.69028171361892,0.5572425720922821,83.74504777441156,none,none,,,,,,,no_mix
no_aug,17,0.4054304272716374,92.44874145690947,0.550805868822721,84.10626893498019,none,none,,,,,,,no_mix
no_aug,18,0.3680315993342484,93.46557759626604,0.546774691466934,84.01305057096248,none,none,,,,,,,no_mix
no_aug,19,0.3389774514379293,94.15735955992666,0.5516007145477381,83.90817991144256,none,none,,,,,,,no_mix
no_aug,20,0.3168555541641812,94.82413735622605,0.5426533736220831,83.98974597995806,none,none,,,,,,,no_mix
basic,1,4.434439767418474,15.769294882480413,3.8502877914274913,42.42600792356094,basic,none,,,,,,,no_mix
basic,2,3.5032419177527667,48.19969994999167,2.7102062471594683,62.39804241435563,basic,none,,,,,,,no_mix
basic,3,2.654829984149212,61.18519753292215,1.9005665694658809,70.53134467490095,basic,none,,,,,,,no_mix
basic,4,2.042086171952858,69.27821303550591,1.4143616148320368,75.70496387788394,basic,none,,,,,,,no_mix
basic,5,1.6508861279205431,73.31221870311718,1.1165038972877728,78.00046609182009,basic,none,,,,,,,no_mix
basic,6,1.3809147381865992,76.1543590598433,0.9437122989356505,79.69004893964112,basic,none,,,,,,,no_mix
basic,7,1.197245904317914,78.03800633438907,0.8243840621835117,81.12328128641343,basic,none,,,,,,,no_mix
basic,8,1.0548450051993008,80.03000500083347,0.7430991512499497,81.97389885807505,basic,none,,,,,,,no_mix
basic,9,0.9414015441442414,81.62193698949825,0.6865391404832668,83.06921463528315,basic,none,,,,,,,no_mix
basic,10,0.8462278428505333,82.84714119019837,0.6565419844302006,83.22069447681193,basic,none,,,,,,,no_mix
basic,11,0.7718009150093805,84.68078013002167,0.6234607874888747,83.43043579585178,basic,none,,,,,,,no_mix
basic,12,0.7080396246882275,85.0808468078013,0.605508839277031,83.59356793288278,basic,none,,,,,,,no_mix
basic,13,0.6531426689290547,86.2810468411402,0.5901199035907342,83.65182941039384,basic,none,,,,,,,no_mix
