epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,best_val_loss,patience_counter,is_best
1,5.978615361291009,0.23893133738125721,5.130554663168417,0.2799240105055474,0.0006601254615601493,5.130554663168417,0,True
2,4.651037371552384,0.31225769964603334,4.335203454301164,0.34131794362454804,0.0013182744995826933,4.335203454301164,0,True
3,3.884163242202621,0.3661587070058416,3.979697001946939,0.3674081346473178,0.001976423537605237,3.979697001946939,0,True
4,3.4168645891699345,0.40399272636966305,3.7782917989266886,0.38615955452661255,0.0017118469864524273,3.7782917989266886,0,True
5,2.9434930476340444,0.4541467418362786,3.596984895499977,0.41312532972645116,0.001531237367343829,3.596984895499977,0,True
6,2.524001727233062,0.5082873491732566,3.4818666303479993,0.4437315657332137,0.0013978920026330765,3.4818666303479993,0,True
7,2.157319603381572,0.5613039149357392,3.425442347655425,0.4667619772859522,0.0012942427602540348,3.425442347655425,0,True
8,1.8435928366921686,0.6112495712689809,3.3890633003131763,0.48971497207074555,0.0012106856941032182,3.3890633003131763,0,True
9,1.5761848330139756,0.6577308231645876,3.4200694496567183,0.4988447331093453,0.0011414692146434141,3.3890633003131763,1,False
10,1.3509804427444756,0.6971156287479687,3.468549019581563,0.5100906273803195,0.0010829108398760189,3.3890633003131763,2,False
11,1.1510671957119092,0.7344578730093466,3.4951249522131844,0.5218508839607239,0.0010325290632110778,3.3890633003131763,3,False
12,0.9897482262717353,0.7660503299744638,3.5853301641103386,0.5268347319718953,0.0009885825567972069,3.3890633003131763,4,False
13,0.8662975131570398,0.7917680502295852,3.618441762150945,0.5329390828673904,0.0009498085378961952,3.3890633003131763,5,False
