epoch,train_loss,train_acc,val_loss,val_acc,best_val_loss,patience_counter,learning_rate,is_best
1,4.947576752126203,0.2413128816923058,4.46756735346691,0.26629386209201295,4.46756735346691,0,0.0003843241836327764,True
2,4.457328688643982,0.265844111240758,4.4782874912900645,0.26023393115740223,4.46756735346691,1,0.0006663279620005834,False
3,4.435189308485362,0.26288286695880103,4.3998596540633566,0.2671805725743567,4.3998596540633566,0,0.0005440751167313724,True
4,4.370568430958076,0.2678220031525449,4.384713036590394,0.2702283613679403,4.384713036590394,0,0.00047119179953311456,True
5,4.326658256269322,0.2704767189368607,4.345188724348483,0.2745995321376852,4.345188724348483,0,0.00042145154856121836,True
6,4.281491754074977,0.2741483486056869,4.3099894652749615,0.2765645538598641,4.3099894652749615,0,0.0003847337824586125,True
7,4.241348352752542,0.27648087385233605,4.3093872935089115,0.27773198173109054,4.3093872935089115,0,0.0003561961970659,True
8,4.208236722774205,0.2787619381103301,4.284546909972875,0.28007574913668265,4.284546909972875,0,0.00033319238574472696,True
9,4.172023548098658,0.28150391383193063,4.274477406243937,0.2814214102706918,4.274477406243937,0,0.00031413778585908167,True
10,4.137835938809358,0.2834583126836794,4.252934880811733,0.28300323047788795,4.252934880811733,0,0.00029801802360698924,True
11,4.102366447135598,0.2864844425600276,4.24875767120556,0.28393449927592734,4.24875767120556,0,0.00028414962375705033,True
12,4.067149069577982,0.2886860779007496,4.25823241892697,0.2852623370836582,4.24875767120556,1,0.0002720530210486551,False
13,4.03651403071242,0.29042456434357594,4.229024730381514,0.28673276150161525,4.229024730381514,0,0.0002613804689437674,True
14,4.007423660614251,0.2925904007356684,4.231320358377078,0.2882031859195722,4.229024730381514,1,0.0002518728368498042,False
15,3.9764601760662255,0.29463094080755714,4.229512206523021,0.28859975492926365,4.229024730381514,2,0.00024333254151971676,False
16,3.9497068545065694,0.29637502083610684,4.220923115512609,0.28940180461178566,4.220923115512609,0,0.00023560594343053517,True
17,3.922484559312915,0.29871313966847934,4.2236613648408134,0.28945973042219003,4.220923115512609,1,0.00022857153007586938,False
18,3.895079811481875,0.3002580880452767,4.231285714395622,0.2915851620808733,4.220923115512609,2,0.00022213176445326851,False
