epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,best_val_loss,patience_counter,is_best
1,5.611337537164086,0.24728195359315108,4.6516816036121265,0.3137450878684585,0.0006601254615601493,4.6516816036121265,0,True
2,4.2246729933821765,0.34800635112656486,3.9957720460118473,0.3676112398907945,0.0013182744995826933,3.9957720460118473,0,True
3,3.636356178346697,0.38813968991732095,3.7626151394199683,0.39157684348724986,0.001976423537605237,3.7626151394199683,0,True
4,3.260263145148933,0.4215049174454835,3.533878468178414,0.4112704766763223,0.0017118469864524273,3.533878468178414,0,True
5,2.8663326992286935,0.46339449984533293,3.3765297258222424,0.43511404217900457,0.001531237367343829,3.3765297258222424,0,True
6,2.5139544353828773,0.507184012158139,3.2795524017230884,0.45271797196285146,0.0013978920026330765,3.2795524017230884,0,True
7,2.203733269874756,0.550584304261136,3.19306265341269,0.474392625931147,0.0012942427602540348,3.19306265341269,0,True
8,1.9369579882951111,0.591393594090287,3.1617865369126603,0.4842304925660829,0.0012106856941032182,3.1617865369126603,0,True
9,1.7043118623641875,0.6290723128361745,3.139663722064044,0.5043589601645598,0.0011414692146434141,3.139663722064044,0,True
10,1.481078046399194,0.6667852507339226,3.1506326263015336,0.517660924711743,0.0010829108398760189,3.139663722064044,1,False
11,1.310628064580866,0.6977801888554662,3.174070860888507,0.5266589675400708,0.0010325290632110778,3.139663722064044,2,False
12,1.1590861910814279,0.7261087121190252,3.198554470732405,0.5332735341948431,0.0009885825567972069,3.139663722064044,3,False
13,1.011351564625004,0.7553126475474498,3.241520830102869,0.5394143856860496,0.0009498085378961952,3.139663722064044,4,False
14,0.8976147991042953,0.7806796642753097,3.2649693617949613,0.5456754098067412,0.0009152659578157324,3.139663722064044,5,False
