epoch,train_loss,train_acc,val_loss,val_acc,best_val_loss,patience_counter
1,0.46117024071554236,0.7815059942195544,0.37475284976041956,0.8338692023532631,inf,0
2,0.35824865307912795,0.848040976177039,0.3464655527249458,0.8463196059652484,0.37475284976041956,0
3,0.3331461311902436,0.8614146700186411,0.32954720081016065,0.8545970721028868,0.3464655527249458,0
4,0.3168783566589086,0.8687428385750688,0.31911400559907865,0.861095909153099,0.32954720081016065,0
5,0.3063802760078923,0.8733860072170061,0.31418187077744486,0.8630455602681626,0.31911400559907865,0
6,0.2977636081128005,0.8775930771467173,0.31511033100800667,0.8632849911068545,0.31418187077744486,0
7,0.2901736687804933,0.8818771056727036,0.31779211744888325,0.8629771514571076,0.31418187077744486,1
8,0.2823741990053731,0.8853231405948044,0.3107429476716577,0.866329183198796,0.31418187077744486,2
9,0.27497873155634384,0.8888974398440306,0.31317304658863676,0.8637638527842386,0.3107429476716577,0
10,0.2669959617722117,0.8930874078634583,0.3353547509497177,0.8628745382405254,0.3107429476716577,1
11,0.25901615016253243,0.8966788090229678,0.31628381755809026,0.8648583937611164,0.3107429476716577,2
