epoch,train_loss,train_acc,val_loss,val_acc,best_val_loss,patience_counter
1,0.4967874837964898,0.7487216322063175,0.3801772959468172,0.8265494595703927,inf,0
2,0.3774152378991465,0.8365484924666086,0.34691381985356046,0.8475167601587085,0.3801772959468172,0
3,0.3502442760279397,0.8510765652523387,0.336124528582208,0.8528526474209879,0.34691381985356046,0
4,0.3337840782489123,0.8577890650385648,0.3303912598606597,0.8550759337802709,0.336124528582208,0
5,0.3214644627751083,0.8653737622492432,0.32342546682446516,0.8601723902038583,0.3303912598606597,0
6,0.3090905043561118,0.8716758161886683,0.321643245658106,0.8605144342591325,0.32342546682446516,0
7,0.29870483983907137,0.8764900039334393,0.31527699154180744,0.8634902175400192,0.321643245658106,0
8,0.28645417873169465,0.8829032202897064,0.3170618403421118,0.8624640853741962,0.31527699154180744,0
9,0.27644047789587695,0.8866143348211996,0.3186386326833273,0.8628745382405254,0.31527699154180744,1
10,0.2655908122128411,0.893728729499085,0.3183416288281322,0.8614721576139007,0.31527699154180744,2
