epoch,train_loss,train_acc,val_loss,val_acc,best_val_loss,patience_counter
1,0.5285901217389237,0.732192635917432,0.41516212950018333,0.8074291968805583,inf,0
2,0.40735850515989525,0.8192841140355378,0.36010722834135245,0.8387262279381584,0.41516212950018333,0
3,0.371924156236271,0.8396011834521916,0.34371988544843807,0.848508687919004,0.36010722834135245,0
4,0.35576255300289944,0.8482205462350144,0.3384958970667416,0.8501162949787933,0.34371988544843807,0
5,0.3427366283115627,0.85472782309784,0.33749042604898916,0.8521343549049117,0.3384958970667416,0
6,0.33454990423608644,0.8602431891642296,0.33169000636277046,0.8545970721028868,0.33749042604898916,0
7,0.3254157749479601,0.8646127272416329,0.32641389657345593,0.8566493364345328,0.33169000636277046,0
8,0.31636306794528696,0.868930959588186,0.3216064827747817,0.8606854562867697,0.32641389657345593,0
9,0.3066799006266096,0.8738135549740906,0.3198689520970662,0.8592146668490902,0.3216064827747817,0
10,0.2992133546254341,0.8774733637747336,0.31984976524448144,0.8600013681762211,0.3198689520970662,0
11,0.2876877622774154,0.8822276948335129,0.31780882859249615,0.8640032836229307,0.31984976524448144,0
12,0.27918033376982115,0.8871188411745592,0.3208415012162921,0.8634218087289642,0.31780882859249615,0
13,0.26913432416612043,0.8913943187454039,0.3203503846620662,0.861814201669175,0.31780882859249615,1
14,0.2568570301396682,0.896593299471551,0.3204126275137,0.8628745382405254,0.31780882859249615,2
