epoch,train_loss,train_acc,val_loss,val_acc,best_val_loss,patience_counter
1,0.46508157843572867,0.779231440151865,0.36395275402793253,0.8380079354220824,inf,0
2,0.3615640408883941,0.8460143998084586,0.34070651875603686,0.8532973046928445,0.36395275402793253,0
3,0.33156286127930423,0.8613633642877909,0.32459688168908457,0.8587016007661786,0.34070651875603686,0
4,0.3178951558300137,0.8689480614984694,0.3216894817900309,0.8617115884525927,0.32459688168908457,0
5,0.30552734147121535,0.874437774699434,0.3136138636422624,0.8649268025721712,0.3216894817900309,0
6,0.29530496313313503,0.8794315325021805,0.3130941777577363,0.8649610069776987,0.3136138636422624,0
7,0.28648207438179046,0.8837326629384502,0.3067469555150143,0.8680394034751676,0.3130941777577363,0
8,0.2785380312033905,0.8877345099447608,0.3129335692380975,0.8654740730606102,0.3067469555150143,0
9,0.2716433050208507,0.8912489525079952,0.3098053457856358,0.8669106580927624,0.3067469555150143,1
10,0.26288176804376784,0.8952251466488806,0.3095936048844719,0.8654056642495553,0.3067469555150143,2
