epoch,train_loss,train_acc,val_loss,val_acc,best_val_loss,patience_counter
1,0.4646512101821237,0.7770081918150258,0.3697524817775385,0.8318511424271446,inf,0
2,0.35833591596177655,0.8460058488533169,0.3456168094172591,0.845977561909974,0.3697524817775385,0
3,0.33409172106108853,0.8595334598874694,0.33391548906228563,0.8537761663702285,0.3456168094172591,0
4,0.31784735604680553,0.8676996220477827,0.32270023496667344,0.8593856888767273,0.33391548906228563,0
5,0.3081249266627399,0.8720435072597609,0.321504153713904,0.8614037488028458,0.32270023496667344,0
6,0.2981955359445708,0.8778239529355429,0.31809165247293353,0.8618826104802298,0.321504153713904,0
7,0.28974439692519066,0.8818600037624202,0.32295282818922383,0.8608906827199343,0.31809165247293353,0
8,0.28177820247484,0.885143570536829,0.3106066178306703,0.8660555479545765,0.31809165247293353,1
9,0.2744314902040037,0.8890428060814393,0.3212388935950602,0.8655082774661377,0.3106066178306703,0
10,0.26508921040766925,0.8945752740581123,0.31844398227235754,0.8649610069776987,0.3106066178306703,1
11,0.2568435173315357,0.8977989841465291,0.32325611446898356,0.8634560131344917,0.3106066178306703,2
